"const","size_data","ratio_noise_data","ratio_alpha_psi"
9.39297442593729,1000,1,1
9.36563789674589,1000,1,1
9.87863786425489,1000,1,1
8.84612934257765,1000,1,1
9.60874932304526,1000,1,1
9.73773012722755,1000,1,1
10.0147163485652,1000,1,1
9.44692002773654,1000,1,1
9.21921969561549,1000,1,1
8.4629960866169,1000,1,1
9.44073359019294,1000,1,1
9.40568839767076,1000,1,1
9.53433353122611,1000,1,1
8.91259584041018,1000,1,1
8.39138272748059,1000,1,1
9.24740595253894,1000,1,2
9.35222238131088,1000,1,2
7.18531621626729,1000,1,2
9.10055750856777,1000,1,2
7.69427828655212,1000,1,2
8.03982414980234,1000,1,2
8.74343696318023,1000,1,2
9.63786304173551,1000,1,2
7.25653401486228,1000,1,2
8.56590499105017,1000,1,2
9.66786794527779,1000,1,2
10.067093998977,1000,1,2
9.23142578871173,1000,1,2
8.39926807335172,1000,1,2
9.92716894208199,1000,1,2
8.14342855177803,1000,1,3
6.59872444625324,1000,1,3
6.6071714283961,1000,1,3
7.13379617960668,1000,1,3
9.62217869061749,1000,1,3
7.36126947432507,1000,1,3
8.23521154954769,1000,1,3
8.1449644045555,1000,1,3
7.2708406929384,1000,1,3
9.24047296353199,1000,1,3
9.39865077426759,1000,1,3
9.59043927672169,1000,1,3
8.02170654231912,1000,1,3
9.33426484446054,1000,1,3
6.90529417316053,1000,1,3
7.3784249925703,1000,1,4
8.50832856748925,1000,1,4
9.4265494473823,1000,1,4
6.73652111950201,1000,1,4
9.39325912603304,1000,1,4
6.78165372503036,1000,1,4
9.33222727123857,1000,1,4
8.30536077904264,1000,1,4
4.80057557352163,1000,1,4
8.57246627296748,1000,1,4
10.155747896547,1000,1,4
8.36285965875295,1000,1,4
8.66093822885339,1000,1,4
9.69846695436282,1000,1,4
8.43055636698444,1000,1,4
9.71274746999383,1000,10,1
9.66871950419484,1000,10,1
9.97088138630231,1000,10,1
9.64811781732713,1000,10,1
9.20541476093636,1000,10,1
9.61372452110593,1000,10,1
10.0279493718901,1000,10,1
9.86147720851588,1000,10,1
9.72637364322045,1000,10,1
9.41220481307307,1000,10,1
9.67615212006903,1000,10,1
9.47456160174858,1000,10,1
9.59781972930309,1000,10,1
9.41279574075166,1000,10,1
9.51583076145004,1000,10,1
9.30611310827062,1000,10,2
9.66393945517666,1000,10,2
9.73913284543852,1000,10,2
9.77878206711556,1000,10,2
9.60761209264624,1000,10,2
9.6032399452915,1000,10,2
10.0991556369519,1000,10,2
9.87669543155764,1000,10,2
9.14008405796775,1000,10,2
8.98835021206971,1000,10,2
9.28516873102339,1000,10,2
10.1102673511736,1000,10,2
9.72606682000179,1000,10,2
9.86863763276662,1000,10,2
9.02949929727099,1000,10,2
9.50836668551655,1000,10,3
9.40305955186109,1000,10,3
9.41571177251699,1000,10,3
9.50836668551655,1000,10,3
9.57457658743689,1000,10,3
9.72066372561156,1000,10,3
9.29678109071805,1000,10,3
8.78639253262348,1000,10,3
9.75919414225192,1000,10,3
7.97121406179966,1000,10,3
9.43379527671926,1000,10,3
9.94639442344016,1000,10,3
9.8539095760188,1000,10,3
7.60653834222235,1000,10,3
9.56416261220805,1000,10,3
8.78966290900138,1000,10,4
9.12679561755454,1000,10,4
9.24512938784307,1000,10,4
7.31730855995286,1000,10,4
9.58901390035649,1000,10,4
7.07064355920266,1000,10,4
9.21203189344232,1000,10,4
9.65978854387951,1000,10,4
9.08658808567233,1000,10,4
9.24110284084817,1000,10,4
9.60383172324649,1000,10,4
9.17658943865962,1000,10,4
8.70263180931042,1000,10,4
9.27837848313205,1000,10,4
9.15404714594924,1000,10,4
9.7626295647765,5000,1,1
9.38799946292945,5000,1,1
9.40634356463668,5000,1,1
9.59847670072794,5000,1,1
9.48342046350227,5000,1,1
9.10735954212298,5000,1,1
9.2649662287788,5000,1,1
9.94696133817733,5000,1,1
9.32210081652462,5000,1,1
9.10717972339713,5000,1,1
10.0600649267453,5000,1,1
9.31572195471167,5000,1,1
9.68699852232339,5000,1,1
9.46900231466674,5000,1,1
9.54414313343197,5000,1,1
9.61328736088752,5000,1,2
9.94380629490794,5000,1,2
9.74848722002991,5000,1,2
9.78177931682978,5000,1,2
9.97219401128345,5000,1,2
9.61839127186583,5000,1,2
9.81083257454303,5000,1,2
9.25813420340988,5000,1,2
9.55880070509062,5000,1,2
8.57155440591489,5000,1,2
9.7207000303149,5000,1,2
9.75727019558315,5000,1,2
9.64243989822525,5000,1,2
9.82387451330386,5000,1,2
8.69360225308866,5000,1,2
9.89347615986866,5000,1,3
9.48798746039019,5000,1,3
9.68534467265066,5000,1,3
8.97985790655351,5000,1,3
7.97664577258672,5000,1,3
9.41175040941571,5000,1,3
9.64706110855153,5000,1,3
10.1212339241072,5000,1,3
9.85569637821875,5000,1,3
8.69025697128312,5000,1,3
9.62061164577083,5000,1,3
9.75429392900565,5000,1,3
10.1035782396922,5000,1,3
9.49274123783424,5000,1,3
10.078819717317,5000,1,3
7.49250517584149,5000,1,4
7.46628778946027,5000,1,4
7.57972374669427,5000,1,4
8.0147407302659,5000,1,4
9.26765896848432,5000,1,4
7.57794631225057,5000,1,4
8.55025029840239,5000,1,4
8.70839982884768,5000,1,4
10.0503690818302,5000,1,4
10.0720058209319,5000,1,4
9.98930111857903,5000,1,4
10.2210963317792,5000,1,4
6.15414466947803,5000,1,4
10.4005629665879,5000,1,4
9.39888927560605,5000,1,4
9.26813815212859,5000,10,1
9.74952768609083,5000,10,1
9.69473911437391,5000,10,1
9.34683020836105,5000,10,1
9.69473911437391,5000,10,1
9.62093605556952,5000,10,1
9.49434053463476,5000,10,1
9.20151615974422,5000,10,1
9.4193607897765,5000,10,1
9.71262037008021,5000,10,1
9.87930544142922,5000,10,1
9.13267490948808,5000,10,1
9.18954143998669,5000,10,1
9.99597094245681,5000,10,1
9.86797455055327,5000,10,1
9.44825143836015,5000,10,2
9.77408375906822,5000,10,2
9.71180269941633,5000,10,2
9.55986630589216,5000,10,2
9.65774828611457,5000,10,2
9.69968592777714,5000,10,2
10.0720058209319,5000,10,2
10.0958099006568,5000,10,2
9.56391654390201,5000,10,2
9.87904680653535,5000,10,2
9.43876329101187,5000,10,2
9.25631832642956,5000,10,2
9.31682439773688,5000,10,2
10.0205628120912,5000,10,2
9.57713569166823,5000,10,2
9.77368984545421,5000,10,3
9.23070569593243,5000,10,3
9.01072642626851,5000,10,3
9.89395471949086,5000,10,3
9.45626996722935,5000,10,3
9.25631832642956,5000,10,3
9.44251653825261,5000,10,3
9.25484706982771,5000,10,3
9.62397718166494,5000,10,3
9.78278650786636,5000,10,3
9.59604847849919,5000,10,3
9.9366762144137,5000,10,3
10.3246458700895,5000,10,3
9.61192895453923,5000,10,3
9.9647182503415,5000,10,3
9.48415265631073,5000,10,4
9.44251653825261,5000,10,4
9.76834930750684,5000,10,4
9.41128034224085,5000,10,4
9.49021414218424,5000,10,4
9.77163644154843,5000,10,4
10.3213994824878,5000,10,4
9.04821545879064,5000,10,4
8.20876801391317,5000,10,4
9.53281928948111,5000,10,4
10.0800478416042,5000,10,4
9.24091865908241,5000,10,4
8.63504921502553,5000,10,4
9.25720109524622,5000,10,4
10.0898221147114,5000,10,4
9.75995847477134,10000,1,1
8.85444392614599,10000,1,1
9.25351121037929,10000,1,1
9.43544797199554,10000,1,1
9.89787418832034,10000,1,1
9.78563236554079,10000,1,1
9.80554578308934,10000,1,1
9.94826216152918,10000,1,1
9.86968599458329,10000,1,1
10.0107967884565,10000,1,1
9.58460710558603,10000,1,1
9.51371105182337,10000,1,1
9.56277863244869,10000,1,1
10.057771573192,10000,1,1
10.0315255461972,10000,1,1
8.54156283153857,10000,1,2
9.79666873305447,10000,1,2
9.73371999789568,10000,1,2
9.71019637524664,10000,1,2
9.94599538572483,10000,1,2
9.92729830483823,10000,1,2
8.75978870282108,10000,1,2
10.0329623318493,10000,1,2
9.37380011258736,10000,1,2
9.53822862269378,10000,1,2
9.32747386681299,10000,1,2
9.82897921160401,10000,1,2
9.85031721657823,10000,1,2
9.66228477261549,10000,1,2
9.84665311816468,10000,1,2
10.0721826759376,10000,1,3
9.84927666252853,10000,1,3
9.63520143977276,10000,1,3
9.25012638881406,10000,1,3
9.49405514901728,10000,1,3
9.92166042923084,10000,1,3
9.95744082694578,10000,1,3
9.37262249005242,10000,1,3
9.44857786238459,10000,1,3
7.7096033275725,10000,1,3
9.00725153759545,10000,1,3
9.63806340613462,10000,1,3
8.60525744036675,10000,1,3
9.56360957322396,10000,1,3
9.57327403851293,10000,1,3
8.63863505839119,10000,1,4
9.80244240386922,10000,1,4
9.40815120160785,10000,1,4
9.49225214794842,10000,1,4
9.64764660684788,10000,1,4
9.68562186555817,10000,1,4
9.40928491412915,10000,1,4
11.2410590040402,10000,1,4
9.91461807248375,10000,1,4
9.69749968751143,10000,1,4
9.1765138436095,10000,1,4
9.75521335239692,10000,1,4
9.46555382777307,10000,1,4
9.65751797294618,10000,1,4
8.88902187319083,10000,1,4
9.90803729603115,10000,10,1
9.52978293438219,10000,10,1
9.55694444679377,10000,10,1
9.60950071994206,10000,10,1
9.39224017146653,10000,10,1
9.92733544122579,10000,10,1
9.96484061652002,10000,10,1
10.0856109530313,10000,10,1
9.28080620270257,10000,10,1
9.34190483109179,10000,10,1
9.47082536396082,10000,10,1
9.59081484817412,10000,10,1
9.91232854037374,10000,10,1
9.79931339892517,10000,10,1
9.70208306915213,10000,10,1
9.45912226540004,10000,10,2
9.62037818482928,10000,10,2
9.88448474233375,10000,10,2
9.38205649093534,10000,10,2
9.46805442934282,10000,10,2
9.72497890399958,10000,10,2
9.21171597344473,10000,10,2
9.62016676209172,10000,10,2
10.1032967728061,10000,10,2
9.42748894901463,10000,10,2
9.97053730320548,10000,10,2
9.65221339947474,10000,10,2
9.51664313636078,10000,10,2
9.55634250443378,10000,10,2
9.95834624007526,10000,10,2
9.29926777129427,10000,10,3
9.21411244976342,10000,10,3
9.48681794585358,10000,10,3
9.46251436206491,10000,10,3
9.80499654567604,10000,10,3
9.83013365755797,10000,10,3
8.91491201297089,10000,10,3
9.14874650459568,10000,10,3
9.5478801172751,10000,10,3
9.57634309672237,10000,10,3
9.63943421250101,10000,10,3
9.60620856841835,10000,10,3
9.88988334126323,10000,10,3
10.0779357042324,10000,10,3
9.26161175911758,10000,10,3
9.58052819369655,10000,10,4
9.76430187522472,10000,10,4
9.03357067224699,10000,10,4
8.9757451736491,10000,10,4
9.91246912944951,10000,10,4
9.84075949716373,10000,10,4
8.75873305644,10000,10,4
9.46157341740254,10000,10,4
9.65429842330957,10000,10,4
9.68140695053708,10000,10,4
8.92809931167414,10000,10,4
9.72376734809904,10000,10,4
9.88439964150028,10000,10,4
9.65269539818506,10000,10,4
10.1305780133056,10000,10,4
10.0317348305578,15000,1,1
9.95459938149483,15000,1,1
9.32393920904891,15000,1,1
9.99152807170637,15000,1,1
9.47889334004339,15000,1,1
9.74616363292845,15000,1,1
10.1296907576298,15000,1,1
10.0076401558723,15000,1,1
9.92167820362816,15000,1,1
9.69701305019708,15000,1,1
9.62826555156847,15000,1,1
9.71065913556896,15000,1,1
9.84378524091787,15000,1,1
9.65202223303369,15000,1,1
9.76484490866802,15000,1,1
9.62610509680154,15000,1,2
9.98172324110051,15000,1,2
9.43431251000638,15000,1,2
9.93506607110865,15000,1,2
9.72983467984127,15000,1,2
9.55404109057728,15000,1,2
9.32991293421968,15000,1,2
9.38120229292762,15000,1,2
9.91365369986607,15000,1,2
9.18034923071371,15000,1,2
9.92587182111688,15000,1,2
9.67574423969564,15000,1,2
9.81570929905224,15000,1,2
10.0291309507047,15000,1,2
9.91410553023657,15000,1,2
9.63407987389856,15000,1,3
9.7095887027019,15000,1,3
9.55989652776357,15000,1,3
9.31293928015629,15000,1,3
9.84945150876819,15000,1,3
9.82634212064707,15000,1,3
9.09413539937885,15000,1,3
9.56758716209528,15000,1,3
9.15555665849734,15000,1,3
9.86650465690942,15000,1,3
9.46739823463591,15000,1,3
9.83398703370182,15000,1,3
9.66995877723358,15000,1,3
9.61709593576838,15000,1,3
8.54355787514813,15000,1,3
8.73161452203077,15000,1,4
9.82694873342162,15000,1,4
9.44228448888725,15000,1,4
9.83134753313497,15000,1,4
9.63418476332985,15000,1,4
8.48113917440245,15000,1,4
8.54745159080531,15000,1,4
9.71905171702842,15000,1,4
8.50730312296029,15000,1,4
9.88607626471981,15000,1,4
9.4400842908585,15000,1,4
9.94350475643694,15000,1,4
10.3331642444144,15000,1,4
9.41277495687364,15000,1,4
9.63386196529674,15000,1,4
9.71673672471635,15000,10,1
9.78622382509645,15000,10,1
9.92165951488552,15000,10,1
9.64455705403504,15000,10,1
10.0052687737552,15000,10,1
9.43670808484616,15000,10,1
9.97540518496337,15000,10,1
9.83135112286149,15000,10,1
9.6161220949916,15000,10,1
9.51218910960944,15000,10,1
9.8122116921628,15000,10,1
9.51863596880483,15000,10,1
9.67328591412867,15000,10,1
9.93959207076801,15000,10,1
9.6161220949916,15000,10,1
9.65125127310297,15000,10,2
9.3903990960628,15000,10,2
9.8862007024485,15000,10,2
9.62541931316406,15000,10,2
9.82271233773221,15000,10,2
9.51146393060613,15000,10,2
9.99490319213261,15000,10,2
9.47774526492767,15000,10,2
9.96762824934,15000,10,2
9.61148790725174,15000,10,2
9.74386326022191,15000,10,2
9.84520115806459,15000,10,2
10.0223740252761,15000,10,2
9.20723775184456,15000,10,2
9.98137541761661,15000,10,2
9.64310046202919,15000,10,3
9.45696027823805,15000,10,3
9.39707925113955,15000,10,3
9.37405342679921,15000,10,3
9.39286385516403,15000,10,3
9.5700313804735,15000,10,3
10.0223740252761,15000,10,3
9.41722998537189,15000,10,3
9.98172324110051,15000,10,3
9.33219045054713,15000,10,3
9.94061139083562,15000,10,3
9.69415784409502,15000,10,3
9.72635840001163,15000,10,3
9.34750702549002,15000,10,3
9.74386326022191,15000,10,3
9.54223440146859,15000,10,4
9.43580636829286,15000,10,4
9.87802467189912,15000,10,4
9.2485209343764,15000,10,4
9.74386326022191,15000,10,4
8.74501134748112,15000,10,4
9.32813080039872,15000,10,4
9.06260737608899,15000,10,4
9.35663956389209,15000,10,4
9.31238711140672,15000,10,4
9.82155566895997,15000,10,4
9.17538606270452,15000,10,4
9.22531358640317,15000,10,4
9.16808403561659,15000,10,4
9.8706822169317,15000,10,4
