"","const","size_data","ratio_noise_data","ratio_alpha_psi"
"1",9.40880566806556,1000,1,1
"2",9.35497355175005,1000,1,1
"3",8.45737514780972,1000,1,1
"4",9.11368923926673,1000,1,1
"5",9.24130493681187,1000,1,1
"6",10.0225286142952,1000,1,1
"7",9.19879010359882,1000,1,1
"8",9.52211153456197,1000,1,1
"9",8.42222665917138,1000,1,1
"10",9.23368943933143,1000,1,1
"11",9.25876164528486,1000,1,1
"12",9.28165678843584,1000,1,1
"13",7.96415276439654,1000,1,1
"14",8.53991173900935,1000,1,1
"15",9.43802721127553,1000,1,1
"16",8.16575465399285,1000,1,2
"17",9.10925531743201,1000,1,2
"18",8.37928853707978,1000,1,2
"19",9.28817195161149,1000,1,2
"20",9.36869217150252,1000,1,2
"21",7.71146345950538,1000,1,2
"22",9.4247694554283,1000,1,2
"23",9.67332182775824,1000,1,2
"24",9.22143900236947,1000,1,2
"25",8.19900560156161,1000,1,2
"26",9.34302716046415,1000,1,2
"27",8.44386013787277,1000,1,2
"28",8.41179376926436,1000,1,2
"29",9.47507460619797,1000,1,2
"30",7.55475017129435,1000,1,2
"31",7.88099030499463,1000,1,3
"32",8.27930666334977,1000,1,3
"33",7.88189955514855,1000,1,3
"34",8.1462801992089,1000,1,3
"35",9.42606415430348,1000,1,3
"36",8.47680538072802,1000,1,3
"37",9.39424472279697,1000,1,3
"38",8.55283238720725,1000,1,3
"39",7.02046247840602,1000,1,3
"40",8.0774832351339,1000,1,3
"41",9.08848198537034,1000,1,3
"42",9.65235820130992,1000,1,3
"43",9.29420403404373,1000,1,3
"44",8.90068642244101,1000,1,3
"45",7.87228879398288,1000,1,3
"46",9.86104267613308,1000,1,4
"47",5.77899046418272,1000,1,4
"48",3.96591167487792,1000,1,4
"49",5.65890672218108,1000,1,4
"50",5.18394246445405,1000,1,4
"51",8.73813831728758,1000,1,4
"52",8.90928421480873,1000,1,4
"53",6.87252167470552,1000,1,4
"54",8.26164841985934,1000,1,4
"55",4.54973814601107,1000,1,4
"56",8.1245698806452,1000,1,4
"57",8.17010703605079,1000,1,4
"58",9.44645364828985,1000,1,4
"59",6.49830032282051,1000,1,4
"60",8.02160338473707,1000,1,4
"61",8.98339063207476,1000,10,1
"62",9.40989550962157,1000,10,1
"63",9.72758517476772,1000,10,1
"64",9.31613050199592,1000,10,1
"65",9.06431979191326,1000,10,1
"66",9.50901928987545,1000,10,1
"67",9.65544798602881,1000,10,1
"68",9.65163788230277,1000,10,1
"69",9.36238948241022,1000,10,1
"70",9.43346588466133,1000,10,1
"71",9.04321740365235,1000,10,1
"72",8.89708975944166,1000,10,1
"73",9.63825496128492,1000,10,1
"74",9.60753859698597,1000,10,1
"75",8.87589010468463,1000,10,1
"76",9.59249191151637,1000,10,2
"77",9.80971670084802,1000,10,2
"78",9.17230478876408,1000,10,2
"79",8.5226508689026,1000,10,2
"80",9.83352821578985,1000,10,2
"81",9.38551855173338,1000,10,2
"82",9.83352821578985,1000,10,2
"83",9.55907988587811,1000,10,2
"84",9.55907988587811,1000,10,2
"85",9.58860183601185,1000,10,2
"86",9.39414234287733,1000,10,2
"87",9.19390697500405,1000,10,2
"88",9.65371563165639,1000,10,2
"89",9.73315540118476,1000,10,2
"90",9.56034581004497,1000,10,2
"91",8.9025991339115,1000,10,3
"92",7.01672009758929,1000,10,3
"93",9.71923488405313,1000,10,3
"94",9.58934649590059,1000,10,3
"95",9.06638089311902,1000,10,3
"96",9.27392251866446,1000,10,3
"97",9.29358764618771,1000,10,3
"98",8.70430962874815,1000,10,3
"99",9.68189064100242,1000,10,3
"100",9.51588077953482,1000,10,3
"101",9.650305149208,1000,10,3
"102",9.05489306004766,1000,10,3
"103",9.38453461795272,1000,10,3
"104",9.56488854206795,1000,10,3
"105",9.70753226948666,1000,10,3
"106",9.61726434444138,1000,10,4
"107",9.24650519350202,1000,10,4
"108",9.52118340278999,1000,10,4
"109",7.90991720522793,1000,10,4
"110",9.3514407033946,1000,10,4
"111",9.17679648007635,1000,10,4
"112",6.38197781785336,1000,10,4
"113",8.89384716901253,1000,10,4
"114",9.42977306723915,1000,10,4
"115",9.07894040164758,1000,10,4
"116",9.16497976100921,1000,10,4
"117",9.70772515182036,1000,10,4
"118",9.46129462328516,1000,10,4
"119",7.9184127708982,1000,10,4
"120",8.93696345200253,1000,10,4
"121",9.98920341026978,10000,1,1
"122",9.8804239374922,10000,1,1
"123",9.7438134884764,10000,1,1
"124",9.65759113762719,10000,1,1
"125",9.69055279373484,10000,1,1
"126",9.29832381647878,10000,1,1
"127",9.9963987407749,10000,1,1
"128",9.83900376554315,10000,1,1
"129",9.68650985213496,10000,1,1
"130",9.99748835464224,10000,1,1
"131",9.71314892263049,10000,1,1
"132",9.55802990892215,10000,1,1
"133",9.87353562873318,10000,1,1
"134",9.73988587451528,10000,1,1
"135",9.67972754672868,10000,1,1
"136",10.0603845797796,10000,1,2
"137",9.71982675195799,10000,1,2
"138",9.88035809267981,10000,1,2
"139",10.1749154694225,10000,1,2
"140",9.35628165654111,10000,1,2
"141",9.45278786971854,10000,1,2
"142",9.5214391396994,10000,1,2
"143",10.0556941853152,10000,1,2
"144",8.04924097070475,10000,1,2
"145",9.98829605002395,10000,1,2
"146",9.36124789143134,10000,1,2
"147",8.56424741821167,10000,1,2
"148",9.38204991157403,10000,1,2
"149",9.55759550340842,10000,1,2
"150",9.4484173338583,10000,1,2
"151",9.93617267426863,10000,1,3
"152",9.38237957188156,10000,1,3
"153",8.3089611615784,10000,1,3
"154",8.89898313565828,10000,1,3
"155",9.1453078819461,10000,1,3
"156",9.85667881229084,10000,1,3
"157",9.78541676779428,10000,1,3
"158",9.47808261810661,10000,1,3
"159",9.30948838842139,10000,1,3
"160",8.34482293817313,10000,1,3
"161",9.96018302637739,10000,1,3
"162",9.90186141344119,10000,1,3
"163",9.61582479295457,10000,1,3
"164",9.85287777465923,10000,1,3
"165",10.0261938632699,10000,1,3
"166",9.30469012513228,10000,1,4
"167",8.53958705506563,10000,1,4
"168",8.38864822588048,10000,1,4
